id_recurso;guid_recurso;subsistema
000012-4;c48cdbb0-b20f-4f56-8b40-dc73cecf21b0;S
000015-9;5882da8e-a255-4661-ad5b-7778a7b919aa;S
000031-0;4a6a9096-22cd-49bc-93a0-95d9f15759d4;N
000040-0;b4682885-e5e7-4c0f-9e73-9b69d7c2a78f;SE
000041-8;27e097af-5a49-45ac-9dbc-50ef93dd75e2;SE
000042-6;5574326a-d466-494d-9f33-8e25046cd7d3;SE
000048-5;9aa69eaa-3a06-46bf-8ac5-c48c936c1caa;SE
000049-3;28a105f2-2b39-44d2-8ab1-a412088708c2;S
000058-2;15e8603e-5bd0-4f63-9a17-7ec8745ff4ab;SE
000060-4;44fb018c-f38e-4172-a58d-edd62fc7fd71;SE
000066-3;b1127483-df13-499c-95b5-496c75ee9b19;SE
000068-0;1457d985-b4db-4d0a-8637-4030b6c67d64;S
000077-9;984573d6-d3e5-4d7d-909d-e11ef23a97c8;SE
000078-7;4122c542-c6e2-41dc-9fe2-c94bb5215581;SE
000080-9;0f0426d9-7744-4056-a5b7-1bd2f95dd1d4;SE
000081-7;c78ae9bc-3d61-4767-8a51-0701943e5399;SE
000089-2;941eab91-f9f0-4214-aa1b-aa6d7bb83b1f;SE
000100-7;9eda5c14-a6f0-4a5d-a388-aee7c537f5f7;SE
000101-5;b5a4a127-18ff-4dac-af3f-96eaad132106;SE
000103-1;a6a95d88-5219-42e2-a47f-71e0a46ee8f8;SE
000104-0;87005590-2f3d-483a-8cb3-209ba75b9f64;SE
000109-0;8b0450a9-6d93-4c2a-ab08-7a79b18625a8;SE
000110-4;8b5c3887-6320-49f2-96ba-c504de30df57;SE
000116-3;43350033-21fc-40fa-ada4-ed475cbdeeb7;SE
000122-8;f1404871-ee50-4f20-8e32-bcbb9af4424d;S
000127-9;deb60a23-9281-48ed-bd76-8be4967e4272;SE
000140-6;bb7c22d6-d639-40d2-a665-a139b4e9740a;SE
000141-4;3da8b4e1-edfd-4012-ae7e-cdee408c06f2;SE
000161-9;15c52fba-050b-496a-8c92-4da84e143318;SE
000182-1;516a502f-3e31-4db9-bcc6-97a866d0a06f;NE
000184-8;aa710003-d00a-42d0-90a8-c41913580e41;N
000187-2;cd73dbfc-488b-4b7b-8014-441d9f77de1b;NE
000190-2;f9f56c24-1546-49ef-8c24-f2243802a508;N
000203-8;2c191888-d848-417c-bab4-9a3bac567b75;SE
000208-9;fa9adf5f-2d66-4d1e-90b9-bd645eb9cd25;SE
000215-1;52b2ab76-cb06-4a72-bd1a-a4dcb85e3f06;SE
000227-5;e32c8bd0-4e65-4b79-bcb0-4816cea03307;SE
000233-0;4ab8f89e-39b5-4dfe-9b72-4535717bad0c;SE
000261-5;d16557ae-bc67-40a6-b545-86c92e79ecef;SE
000262-3;93a7fc74-e18a-4f65-8450-e4911a4b053e;SE
000267-4;a0815a42-358e-49aa-9c48-98ed44dc69da;NE
000273-9;6ada1fd2-e318-49d5-b105-2c816763ec76;S
000284-4;f9d90ec4-6437-4ca4-8afb-f16c51d32cea;SE
000291-7;9792fb11-830a-43f8-b37f-6f6d9a54e576;SE
000298-4;f460bafb-e548-4e11-b654-f2607a8c0bc2;SE
000302-6;fe6ae2a0-7599-40ae-8bb5-ebc45f8ea352;S
000312-3;8460fb48-4671-49d5-85f4-eca3c3c93be1;SE
000315-8;391129b6-bce0-439a-a406-ee8c9473debc;SE
000318-2;8691ce9e-e385-4144-b521-9ba03b8962e9;SE
000324-7;82957f95-c809-4318-8427-e437275d22b0;S
000329-8;796ae47a-ef18-482a-bb0d-314074604e5f;S
000331-0;50ef65dd-1de3-494a-b7e7-4ee7c440666e;SE
000336-0;f5a11762-2a9a-4e46-8f55-9fb1f890e460;SE
000345-0;96d55cf0-ae5a-41b8-9c1d-85c199f6b1e3;SE
000396-4;7b56bf86-0c2f-4fdf-ae85-488f8fb63c00;SE
000404-9;072d5bb8-a514-47df-b591-bd2f9d88a2c3;SE
000428-6;8cca4c5d-a861-40fa-96f3-afc15bd03bbb;SE
000473-1;60ee9b38-6be8-4805-9214-ceabed60c368;SE
000475-8;249a27db-e0c6-4305-b0a5-414257e464d2;SE
000491-0;65f6e74a-d720-4f4d-90b5-53e33522167c;SE
000526-6;e12f5a41-943f-4014-88e5-a98414fac7e8;SE
000528-2;6ca915cc-c4db-41b1-80d9-545e8b7d689f;SE
000581-9;e1470f75-a66d-4989-9ef1-94d409fe7151;SE
000588-6;5f8209a9-782d-4650-8c92-985bc59bc607;SE
000597-5;2febc03c-9033-4830-bc38-0e27d09f73ea;SE
000602-5;b663a089-1e7f-4ed7-8314-2d9bb964ef51;NE
